ID,actor,domain,capability,web route,mobile route,web source,mobile source,API methods/paths,entitlement,web fields/actions,mobile fields/actions,loading/empty/error states,test coverage,status,severity,evidence,recommended action
PROFILE-01,Athlete,Profile,Profile view and edit,/profile,/profile,src/features/profile,lib/features/profile,GET/PUT /api/users/me,Authenticated,"identity; bio; stats; social links; avatar","identity; bio; stats; validated social links; avatar",Implemented in both,Profile widget tests,Complete,None,"Facebook Instagram and Zalo edit/view with safe external launch",Keep
PROFILE-02,Athlete,Progress,Bodyweight history,/progress,/profile/bodyweight,src/features/progress,lib/features/profile,"GET/POST/DELETE /api/users/me/bodyweight",Authenticated,"chart; log; delete; change","latest; delta; chart; log; delete; units",Implemented in both,Profile and dashboard widget tests,Complete,None,"shared bodyweight card and dedicated history CRUD",Keep
PROFILE-03,Athlete,Progress,Personal records and history,/progress,/progress,src/features/progress,lib/features/progress/data/datasources/progress_remote_data_source.dart,"GET /api/users/me/exercise-prs; GET history",Authenticated,"PR list; history; share","PR list; history; dedicated share route",Implemented in both,Progress tests exist,Complete,None,"mobile exposes both PR endpoints and sharing screen",Keep
PROFILE-04,Athlete,Progress,Volume history,/progress,/progress,src/features/progress,lib/features/progress,GET /api/users/me/volume-history?months,Authenticated,"volume chart; ranges","volume chart; 3/6/12/24 month ranges; kg/lb",Implemented in both,Widget test,Complete,None,"mobile Progress volume history card",Keep
SET-01,User,Settings,Preferences and privacy,/settings,/settings,src/features/settings,lib/features/settings,"GET/PUT /api/users/me/preferences",Authenticated,"language; theme; units; RPE; privacy","language; theme; units; RPE; privacy",Implemented in both,Runtime pending,Complete,None,"mobile preferences provider and settings update call",Keep
SET-02,User,Safety,Block list,/settings/blocked,/settings/blocked,src/features/community,lib/features/blocks_reports/presentation/screens/blocklist_screen.dart,"GET/DELETE /api/users/me/blocks",Authenticated,List and unblock,List and unblock,Implemented in both,Runtime pending,Complete,None,"mobile blocklist calls users/me/blocks",Keep
TRAIN-01,Athlete/Coach,Training,Plan CRUD and lifecycle,/plans,/plans,src/features/training,lib/features/training,"GET/POST/PUT/DELETE /api/plans; activate; deactivate; duplicate",Authenticated,"list; create; edit; delete; duplicate; lifecycle","same core actions",Implemented in both,Training tests exist,Complete,None,"mobile training datasource exposes full plan lifecycle",Keep
TRAIN-02,Athlete/Coach,Training,Plan overview and analytics,/plans/:id/overview,/plans/:id,src/features/training,lib/features/training/presentation/screens/plan_detail_screen.dart,"GET /api/plans/{id}; analytics; design; balance",Tier dependent,"overview; analytics; AI analysis","combined plan detail; analytics and AI review routes",Implemented in both,Plan AI tests exist,Equivalent,Low,"mobile combines route-level web pages into native screens",Runtime-check Pro gating and response sections
TRAIN-03,Athlete/Coach,Training,Week and day editing,/plans/:id/weeks/:week,/plans/:id/weeks/:week,src/features/training,lib/features/training,"weeks; days; rename; copy; complete; reorder; comments",Owner/Coach,"structure; comments; editing","structure; plan/week comments; editing; copy; complete; reorder; status",Implemented in both,Training widget tests,Complete,None,"dedicated realtime plan/week comments screen and editing actions",Keep
TRAIN-04,Athlete/Coach,Training,Custom exercise CRUD,/exercises,/exercises,src/features/training,lib/features/training,"GET/POST/PUT/DELETE /api/exercise-templates/custom",Authenticated,Create edit delete,Create edit delete,Implemented in both,Runtime pending,Complete,None,"mobile training datasource exposes custom template CRUD",Keep
TRAIN-05,Athlete,Workout,Set tracking and completion,/workout,/plans/:id/weeks/:week/days/:day,src/features/training,lib/features/training,"PATCH /api/exercises/sets/{id}; POST complete; timers",Authenticated,"edit set; complete; RPE; notes; timer","edit set; complete; skip/reopen; RPE; notes; timer",Implemented in both,Widget and datasource tests,Complete,None,"planned and actual set editing covered",Keep
TRAIN-06,Athlete,Workout,Last exercise performance,/workout,/plans/:id/weeks/:week/days/:day,src/features/training,lib/features/training,GET /api/exercise-templates/{id}/last-performance,Authenticated,Previous performance context,Previous performance beside working sets,Implemented in both,Widget test,Complete,None,"last performance presentation implemented",Keep
TRAIN-07,Athlete,Workout,Today workout,/today-workout,/today-workout,src/features/training,lib/features/training,Daily workout endpoints,Authenticated,Resolve active plan and workout,Native today-workout screen,Implemented in both,Runtime pending,Complete,None,"dedicated mobile route and workout datasource",Keep
AI-01,Athlete,Insights,Personal AI insights,/insights,/insights,src/features/insights,lib/features/insights,GET /api/insights/me,Pro,"sections; refresh; errors","sections; refresh; errors",Implemented in both,Insights tests exist,Complete,None,"mobile insights domain and screen",Runtime-check 403 429 and stale cache
AI-02,Athlete,Insights,AI coach chat,/insights/coach-chat,/insights/chat,src/features/insights,lib/features/insights/presentation/screens/ai_coach_chat_screen.dart,Conversation and message endpoints,Pro,"conversation list; history; send","conversation list; history; send",Implemented in both,Insights tests exist,Complete,None,"mobile uses conversation resource endpoints",Keep
NUT-01,Athlete,Nutrition,Nutrition summary and profile,/nutrition,/nutrition,src/features/nutrition,lib/features/nutrition,"GET /api/nutrition/summary; PUT profile",Authenticated,"goal; TDEE; target; macros","goal; TDEE; target; macros",Implemented in both,Nutrition tests partial,Complete,None,"mobile nutrition repository exposes summary/profile",Keep
NUT-02,Athlete,Nutrition,Today food log,/nutrition,/nutrition,src/features/nutrition,lib/features/nutrition,"food search/resolve/create; GET/POST/DELETE food-logs",Authenticated,"search; add; delete; totals","search; add; delete; totals",Implemented in both,Nutrition tests partial,Complete,None,"mobile nutrition remote datasource covers core food log",Add runtime API/field snapshot test
NUT-03,Athlete,Nutrition,Food log history,/nutrition/history,/nutrition/history,src/features/nutrition,lib/features/nutrition,GET /api/nutrition/history?from&to,Authenticated,Date-range history,"30-day default; date range; calorie and macro totals",Implemented in both,Widget and datasource tests,Complete,None,"mobile history route and chart/list",Keep
NUT-04,Athlete,Nutrition,Meal plans,/nutrition/meal-plan,/nutrition/meal-plan,src/features/nutrition,lib/features/nutrition,"GET/PUT meal-plans; check/uncheck",Authenticated,"week/day edit; completion","week/day setup; check/uncheck",Implemented in both,Meal plan tests exist,Complete,None,"mobile meal plan setup and repository methods",Keep
NUT-05,Athlete,Nutrition,Nutrition insight,/nutrition/insight,/nutrition/insight,src/features/nutrition/pages/NutritionInsightPage.tsx,lib/features/nutrition/presentation/screens/nutrition_insight_screen.dart,GET /api/nutrition/summary,Tier dependent,Insight presentation from nutrition summary,"native signals; actions; insufficient data; Pro gate",Implemented in both,Logic and widget tests,Complete,None,"athlete and client insight routes",Keep
SUP-01,Athlete,Supplements,Regimen and dose tracking,/supplements,/supplements,src/features/supplements,lib/features/supplements,"regimen CRUD; daily; dose record/reset; history",Authenticated,"CRUD; schedule; daily; history","CRUD; schedule; daily; history",Implemented in both,Supplement tests exist,Complete,None,"mobile supplement datasource covers athlete contract",Keep
CYCLE-01,Athlete,Cycle,Cycle tracking and settings,/cycle,/cycle,src/features/cycle,lib/features/cycle,"overview; logs; settings; markers",Eligible user,"tracking; symptoms; predictions; settings","tracking; symptoms; predictions; settings",Implemented in both,Cycle tests exist,Complete,None,"mobile cycle datasource covers overview logs settings and markers",Keep
CYCLE-02,Athlete,Cycle,Cycle AI insight,/cycle/insight,/cycle/insight,src/features/cycle,lib/features/cycle,GET /api/cycle/insight,Tier dependent,Insight and missing-data states,Insight screen,Implemented in both,Cycle tests exist,Complete,None,"mobile cycle insight screen and endpoint",Keep
COACH-01,Coach,Clients,Client dashboard and list,/coach/clients,/coach/clients,src/features/coach,lib/features/coach_client,GET /api/coach-client/dashboard,Pro Coach,"clients; alerts; progress; workout monitoring","clients; relationship status/actions; per-client alerts; plan/workout progress; bodyweight",Implemented in both,Provider contract test,Complete,None,"corrected dashboard array contract and merged records by clientId",Keep
COACH-02,Coach,Clients,Client profile completeness,/coach/clients/:id,/coach/clients/:id,src/features/coach,lib/features/coach_client/presentation/screens/client_detail_screen.dart,"GET /api/users/{id}; coach dashboard",Coach relationship,"profile; stats; plan; nutrition; cycle","profile; stats; plan; nutrition; cycle",Implemented in both,Client profile test exists,Complete,None,"mobile was corrected to users/{clientId} and displays profile data",Keep API contract regression test
COACH-03,Coach,Clients,Client today workout,/coach/clients/:id/today-workout,/coach/clients/:id/today-workout,src/app/Router.tsx,lib/features/coach_client/presentation/screens/client_today_workout_screen.dart,Client daily workout endpoints,Coach relationship,Open and inspect client workout,Resolve and open coach-authorized client workout,Implemented in both,Widget test,Complete,None,"client today workout route and action",Keep
COACH-04,Coach,Clients,Client custom exercise create,/coach/clients/:id,/coach/clients/:id,src/features/coach,lib/features/coach_client,GET/POST /api/exercise-templates/clients/{id},Coach relationship,List and create,List and create,Implemented in both,Runtime pending,Complete,None,"mobile client detail fetches and creates client templates",Keep
COACH-05,Coach,Clients,Client custom exercise edit/delete,/coach/clients/:id,/coach/clients/:id,src/features/coach,lib/features/coach_client,PUT/DELETE client exercise template endpoints,Coach relationship,Edit and delete,Edit delete validation and destructive confirmation,Implemented in both,Contract and widget tests,Complete,None,"full client custom exercise CRUD",Keep
COACH-06,Coach,Clients,Client nutrition summary,/coach/clients/:id/nutrition,/coach/clients/:id/nutrition,src/features/nutrition,lib/features/coach_client,"GET /api/nutrition/clients/{id}/summary; history; meal plans",Coach relationship,"summary; target; daily log; history; meal plan","summary; target; date navigation; daily log; history; meal plan",Implemented in both,Widget test,Complete,None,"dedicated client nutrition screen",Keep
COACH-07,Coach,Clients,Client nutrition insight,/coach/clients/:id/nutrition/insight,/coach/clients/:id/nutrition/insight,src/app/Router.tsx,lib/features/nutrition/presentation/screens/nutrition_insight_screen.dart,Client summary based insight,Coach plus tier,Insight sections,"native insight sections; actions; gates",Implemented in both,Logic and widget tests,Complete,None,"client-scoped insight route",Keep
COACH-08,Coach,Clients,Client cycle visibility,/coach/clients/:id/cycle,/coach/clients/:id,src/features/cycle,lib/features/coach_client,GET /api/cycle/clients/{id}/overview,Coach relationship plus consent,Dedicated detail,Overview panel,Implemented in both,Runtime pending,Equivalent,Low,"backend exposes client overview and mobile folds it into detail",Keep unless UX research requires dedicated screen
COACH-09,Coach,Clients,Client AI brief,/coach/clients/:id/ai-insight,/coach/clients/:id/ai-insight,src/features/coach,lib/features/coach_client,Client AI brief endpoint,Pro Coach,"brief; suggested message","brief; suggested message",Implemented in both,Runtime pending,Complete,None,"mobile route exists and uses coach-client insight",Keep
COACH-10,Coach,Relationship,Coach profile,/coach/profile,/coach/my-coach,src/features/coach,lib/features/coach_client/presentation/screens/my_coach_screen.dart,GET /api/users/{coachId},Athlete with relationship,"profile; social links; lifecycle; chat","profile; safe social links; lifecycle; chat and unread",Implemented in both,Profile and chat tests,Complete,None,"Facebook and Instagram exposed from the same private profile contract",Keep
COACH-11,Coach/Athlete,Messaging,Relationship chat,/coach/messages,/coach/messages,src/features/messages,lib/features/coach_client,"GET/POST messages; attachments; read; GET /api/messages/unread-counts",Active relationship,"inbox; unread; thread; attachment","inbox badges; thread; attachment; read; reconnect/resume reconciliation",Implemented in both,Contract and race tests,Complete,None,"API authoritative unread controller documented in D-012",Keep
COMM-01,User,Community,Community discovery,/community,/community,src/features/community,lib/features/community,GET /api/community/users,Authenticated,"discover; search; profile; friend entry points","native search; profile; friend actions; feed; challenge entry point",Implemented in both,Community tests,Equivalent,None,"native CommunityScreen consolidates landing modules without losing outcomes",Keep native consolidation
COMM-02,User,Community,Friend feed,/community/feed,/community,src/features/community,lib/features/community,"GET /api/training-day-shares/feed; love/unlove",Authenticated,"feed; reactions; share actions","feed; love/unlove",Implemented in both,Runtime pending,Equivalent,Low,"mobile CommunityScreen embeds friend feed",Keep
COMM-03,User,Community,Share moderation and reuse,/community/feed,/community,src/features/community,lib/features/community,"kudos; report; copy; delete",Authenticated,"kudos; report; copy; owner delete","kudos; report; copy into plan/week/day; owner delete",Implemented in both,Contract tests,Complete,None,"reaction alias decision D-011",Keep
COMM-04,User,Community,Friends lifecycle,/community/friends,/community/friends,src/features/community,lib/features/community,"friends; requests; accept; reject; remove",Authenticated,Full lifecycle,Full lifecycle,Implemented in both,Runtime pending,Complete,None,"mobile community datasource covers friend lifecycle",Keep
COMM-05,User,Community,Fitness challenges,/community/challenges,/community/challenges,src/features/community,lib/features/challenges,/api/community/challenges/*,Authenticated,"discover; create; join; invite; check-in; leave; cancel","discover; detail; create; join/accept/decline; invite/manage; check-in/undo; leave/cancel",Implemented in both,Contract tests,Complete,None,"full athlete challenge lifecycle",Keep
COMM-06,User,Community,Challenge standings,/community,/challenges/:id,src/features/community/pages/CommunityChallengesPage.tsx,lib/features/challenges,/api/fitness-challenges/*,Authenticated,"rank; avatar; baseline state; score and unit","rank; avatar; baseline state; score and unit",Implemented in both,Widget and contract tests,Complete,None,"website leaderboard is challenge standings; standalone backend leaderboard has no website route",Keep
COMP-01,Public/User,Competitions,Competition discovery and detail,/competitions,/competitions,src/features/competitions,lib/features/competitions,GET /api/events*,Public,"browse; filter; detail","browse; discipline filter; detail",Implemented in both,Contract tests,Complete,None,"public native list and detail routes",Keep
COMP-02,Athlete,Competitions,Registration and my competitions,/competitions/mine,/competitions/mine,src/features/competitions,lib/features/competitions,"registration; withdraw; receipt; mine endpoints",Authenticated,"register; cancel; receipt; mine","register; withdraw; native receipt picker/upload; mine",Implemented in both,Contract tests,Complete,None,"athlete competition vertical slice",Keep
COMP-03,Organizer,Competitions,Organize and manage competitions,/competitions/organize,/organizer,src/features/competitions,lib/features/competitions,"/api/organizers/*; /api/competition-management/*",Organizer,"application; create/edit/lifecycle; categories; staff; roster; receipts; results","native role home; application/evidence; event lifecycle/editing; categories; staff; guest/roster/payment decisions; powerlifting/bodybuilding results",Implemented in both,Contract and widget tests,Complete,None,"Organizer navigation and vertical slices implemented against controller contracts",Keep and runtime-certify with Organizer account
FILES-01,User,Storage,File management,/files,/storage,src/features/storage,lib/features/storage,/api/files/*,Authenticated,"list; upload; download; delete; share","quota; picker/upload progress; owned/shared lists; open; delete; share/unshare",Implemented in both,Contract tests,Complete,None,"Mobile Required decision D-008",Keep
ADMIN-01,Admin,Admin,Dashboard users plans reports bugs,/admin,/admin,src/features/admin,lib/features/admin,/api/admin/dashboard users plans reports bugs,Admin,Operational views and primary actions,"dashboard; users/lifecycle; plans/analytics; reports; bugs",Implemented in both,Route role-gate and contract tests,Complete,None,"operational P3 pages remain separately classified web-first",Keep
ADMIN-02,Admin,Admin,Insights marketing and AI usage,/admin/insights,/admin/analytics,src/features/admin,lib/features/admin,/api/admin/insights marketing ai-usage,Admin,Separate pages,Combined native analytics page,Implemented in both,Runtime pending,Equivalent,Low,"mobile analytics screen calls all three endpoint groups",Keep combined mobile presentation
ADMIN-03,Admin,Admin,User lifecycle and subscription adjustment,/admin/users/:id,/admin/users/:id,src/features/admin,lib/features/admin/presentation/screens/admin_user_detail_screen.dart,"POST /api/admin/users/{id}/suspend|unsuspend; PATCH subscription",Admin,"detail; subscription; suspend/unsuspend","detail; account status; confirmed suspend/unsuspend; subscription adjustment reason",Implemented in both,Contract tests,Complete,None,"backend suspension contract has no reason field; subscription audit reason verified",Keep
ADMIN-04,Admin,Admin,Payments and subscription operations,/admin/payments,/admin/payments,src/features/admin,lib/features/admin,"GET /api/admin/payments; summary; subscriptions; PATCH user subscription",Admin,"payments; summaries; subscription ops","summary; order list; subscriptions; audited tier adjustment",Implemented in both,Widget and existing contract tests,Complete,None,"Admin Finance native screen",Keep and runtime-certify with Admin account
ADMIN-05,Admin,Admin,Promotion management,/admin/promotions,/admin/promotions,src/features/admin,lib/features/admin,/api/admin/promotion-codes/*,Admin,CRUD and status,"create; edit; delete; activate/deactivate",Implemented in both,Widget tests,Complete,None,"Admin Promotions native screen",Keep
ADMIN-06,Admin,Admin,Organizer review,/admin/organizers,/admin/organizers,src/features/competitions,lib/features/competitions,/api/admin/organizers/*,Admin,"review; evidence; decision","status queue; safe evidence open; required audit reason; approve/reject/suspend",Implemented in both,Contract and widget coverage,Complete,None,"Admin Moderation organizer verification",Keep
